ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,HIGH_CONCENTRATION,CONCENTRATION_IS_NEGATIVE_ONE,CONCENTRATION_PPM
2949,Food-Spice,Swad Turmeric Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNITED STATES MINOR OUTLYING ISLANDS,2018-05-04,False,True,-1.0
2950,Food-Spice,Maya Chilli Powder Ex Hot,Lead,0.25,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,False,0.25
2951,Food-Spice,Heaven's Chilli Powder Red,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,True,-1.0
2952,Food-Spice,Heaven's Turmeric Powder (Haldi Powder),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,True,-1.0
2953,Food-Spice,Shad Extra Hot Chilli Powder,Lead,0.13,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,False,0.13
2954,Food-Spice,Deer Turmeric Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,True,-1.0
2955,Food-Spice,Maya Red Crushed Chilli,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,True,-1.0
2956,Food-Spice,Laxmi Brand Turmeric Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,True,-1.0
2957,Food-Spice,Turmeric Powder,Lead,0.26,ppm,Pran Agro Ltd.,BANGLADESH,2018-05-04,False,False,0.26
2958,Food-Spice,Chilli Powder,Lead,0.13,ppm,Pran Agro Ltd.,BANGLADESH,2018-05-04,False,False,0.13
2959,Food-Spice,Chili Powder,Lead,0.82,ppm,UNKNOWN OR NOT STATED,MEXICO,2018-05-08,False,False,0.82
2960,Other,Scott Tissue,Lead,-1.0,ppm,Scott Tissue,UNITED STATES,2018-05-08,False,True,-1.0
2961,Toys/Children's Products,Rubber Duck Toy,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CHINA,2018-05-09,False,True,-1.0
2962,Toys/Children's Products,Pink Child's Rubber Duck Toy,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-09,False,True,-1.0
